FacilityName,units_allocated
Engine 4/Ladder 15,1
Engine 6,0
Manhattan Borough Command/Battalion 1/Engine 7/Ladder 1,0
Ladder 8,0
Engine 9/Ladder 6,0
Battalion 4/Engine 15/Ladder 18,1
Engine 28/Ladder 11,0
Engine 5,0
Division 1/Ladder 20,0
Engine 33/Ladder 9,0
Battalion 6/Ladder 3,0
Squad 18,0
Engine 34/Ladder 21,0
Engine 26,0
Battalion 7/Engine 3/Ladder 12,0
Engine 1/Ladder 24,0
Engine 14,0
Engine 16/Ladder 7,1
Engine 21,0
Battalion 9/Engine 54/Ladder 4,0
Engine 23,0
Engine 40/Ladder 35,0
Division 3/Ladder 25,0
Engine 74,1
Battalion 8/Engine 8/Ladder 2,0
Engine 44,0
Battalion 10/Engine 22/Ladder 13,0
Engine 58/Ladder 26,0
Engine 53/Ladder 43,0
Engine 91,1
Battalion 12/Engine 35/Ladder 14,0
Battalion 11/Engine 76/Ladder 22,0
Engine 47,0
Engine 59/Ladder 30,0
Engine 37/Ladder 40,0
Engine 84/Ladder 34,0
Engine 95/Ladder 36,1
Engine 55,0
Rescue 1,1
Engine 39/Ladder 16,0
Battalion 16/Engine 69/Ladder 28,1
Engine 80/Ladder 23,0
Battalion 13/Engine 93/Ladder 45,0
Engine 10/Ladder 10,0
Engine 65,0
Battalion 2/Engine 24/Ladder 5,0
Engine 67,1
Marine 1,1
